Nodos Depa_1

Enchufes
00 5.55, 3.87 
01 6.40, 1.88 //con. 28 29 30
02 4.20, 0.20 
03 2.98, 2.45 //con. 37
04 1.80, 5.32 //con. 34 35 
05 2.56, 7.55
06 0.42, 7.55 //con. 38
07 2.56, 3.80
08 0.20, 3.00
09 1.30, 0.20
10 4.27, 5.24
11 5.15, 7.55 //con. 39 40
12 6.46, 4.37 

Interruptores
00 5.90, 3.88
01 5.00, 3.88
02 4.15, 3.40
03 4.70, 1.45 //con. 42
04 5.00, 5.35
05 5.95, 5.82 //con. 41
06 2.99, 5.35
07 1.65, 5.65 //con. 36
08 2.56, 7.55
09 1.70, 7.55
10 0.80, 7.55
11 2.96, 3.80
12 2.56, 1.45 //con. 32
13 4.25, 5.25
14 4.25, 6.77

Aparatos 
00 5.90, 1.93 //0 Asistente int. 1
01 5.90, 1.00 //1 Television 1
02 5.90, 0.42 //2 Consola
03 5.13, 3.80 //3 Alarma
04 2.56, 1.45 //4 Lamp. int. 1
05 1.71, 3.80 //5 Control Temperatura 1
06 0.80, 4.05 //6 Equipo de Audio
07 1.00, 4.05 //7 Television 2
08 1.65, 5.65 //8 Lamp. Int. 2
09 2.98, 5.34 //9 Control Temperatura 2
10 0.80, 7.45 //10 Asistente int. 2
11 5.20, 7.25 //11 Notebook <- Movil
12 5.10, 5.85 //12 Control Temperatura 3
13 5.95, 5.85 //13 Lamp. Inteligente 3
14 4.70, 1.45 //14 Lamp. Inteligente 4

Access Points
00 5.35, 3.87
01 1.80, 5.32

PLC
00 5.15, 7.55
01 4.20, 0.20
